IdentifierType,IdentifierTypeID,ID,NIMSPEntityID
"Sunlight Lawmaker",1,AKL000001,5087125
"Sunlight Lawmaker",1,AKL000002,6614391
"Sunlight Lawmaker",1,AKL000003,9399128
"Sunlight Lawmaker",1,AKL000004,6615067
"Sunlight Lawmaker",1,AKL000007,17359571
"Sunlight Lawmaker",1,AKL000008,6400604
"Sunlight Lawmaker",1,AKL000010,6692565
"Sunlight Lawmaker",1,AKL000011,6400620
"Sunlight Lawmaker",1,AKL000013,6614391
"Sunlight Lawmaker",1,AKL000016,5087125
"Sunlight Lawmaker",1,AKL000019,6464822
"Sunlight Lawmaker",1,AKL000020,6614368
"Sunlight Lawmaker",1,AKL000024,6692539
"Sunlight Lawmaker",1,AKL000027,6479039
"Sunlight Lawmaker",1,AKL000030,6508954
"Sunlight Lawmaker",1,AKL000031,4004350
"Sunlight Lawmaker",1,AKL000032,6464822
"Sunlight Lawmaker",1,AKL000034,6400662
"Sunlight Lawmaker",1,AKL000035,4004574
"Sunlight Lawmaker",1,AKL000036,12997261
"Sunlight Lawmaker",1,AKL000037,6495549
"Sunlight Lawmaker",1,AKL000040,6671132
"Sunlight Lawmaker",1,AKL000042,6464847
"Sunlight Lawmaker",1,AKL000043,12997197
"Sunlight Lawmaker",1,AKL000044,12997254
"Sunlight Lawmaker",1,AKL000046,6678391
"Sunlight Lawmaker",1,AKL000047,12997159
"Sunlight Lawmaker",1,AKL000048,6665815
"Sunlight Lawmaker",1,AKL000049,12997267
"Sunlight Lawmaker",1,AKL000051,6692534
"Sunlight Lawmaker",1,AKL000052,6692528
"Sunlight Lawmaker",1,AKL000053,6604267
"Sunlight Lawmaker",1,AKL000054,6604189
"Sunlight Lawmaker",1,AKL000056,12997186
"Sunlight Lawmaker",1,AKL000057,6464933
"Sunlight Lawmaker",1,AKL000059,6692490
"Sunlight Lawmaker",1,AKL000060,13789707
"Sunlight Lawmaker",1,AKL000061,6412276
"Sunlight Lawmaker",1,AKL000062,13789946
"Sunlight Lawmaker",1,AKL000063,9399128
"Sunlight Lawmaker",1,AKL000066,6615067
"Sunlight Lawmaker",1,AKL000067,9404861
"Sunlight Lawmaker",1,AKL000069,13789721
"Sunlight Lawmaker",1,AKL000070,9438054
"Sunlight Lawmaker",1,AKL000073,9400827
"Sunlight Lawmaker",1,AKL000074,13789740
"Sunlight Lawmaker",1,AKL000075,649492
"Sunlight Lawmaker",1,AKL000076,13789744
"Sunlight Lawmaker",1,AKL000077,9448191
"Sunlight Lawmaker",1,AKL000078,13789725
"Sunlight Lawmaker",1,AKL000122,24764589
"Sunlight Lawmaker",1,AKL000129,6529940
"Sunlight Lawmaker",1,AKL000130,24764586
"Sunlight Lawmaker",1,AKL000132,9399402
"Sunlight Lawmaker",1,AKL000138,6692467
"Sunlight Lawmaker",1,AKL000144,9654575
"Sunlight Lawmaker",1,AKL000147,6671121
"Sunlight Lawmaker",1,AKL000158,9607684
"Sunlight Lawmaker",1,AKL000167,24763190
"Sunlight Lawmaker",1,ALL000001,6568032
"Sunlight Lawmaker",1,ALL000002,21273335
"Sunlight Lawmaker",1,ALL000005,21273389
"Sunlight Lawmaker",1,ALL000006,12997469
"Sunlight Lawmaker",1,ALL000008,6688447
"Sunlight Lawmaker",1,ALL000009,6381363
"Sunlight Lawmaker",1,ALL000010,6381436
"Sunlight Lawmaker",1,ALL000011,6372120
